in_holocene_study,Family,Feeding,Piscivore,Habit,Cryptobenthic,Gross_habitat,harvested_in_sitio_drago,prey_of_harvested_fishes,Order,Class,Reef_associated
Yes,Acanthuridae,herbivore,No,demersal,Not cryptobenthic,Marine,Yes,Yes,Acanthuriformes,Actinopterygii,Yes
Yes,Albulidae,piscivore,Yes,demersal,Not cryptobenthic,Marine,Yes,No,Albuliformes,Actinopterygii,No
Yes,Antennariidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Lophiiformes,Actinopterygii,Yes
Yes,Apogonidae,planktivore,No,demersal,Cryptobenthic,Marine,No,No,Kurtiformes,Actinopterygii,Yes
Yes,Atherinidae,planktivore,No,pelagic,Not cryptobenthic,Marine,No,Yes,Atheriniformes,Actinopterygii,Yes
Yes,Atherinopsidae,planktivore,No,pelagic,Not cryptobenthic,Marine,No,Yes,Atheriniformes,Actinopterygii,No
Yes,Batrachoididae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,Yes,No,Batrachoidiformes,Actinopterygii,Yes
Yes,Blenniidae,omnivore_carnivore,No,demersal,Cryptobenthic,Marine,No,No,Blenniiformes,Actinopterygii,Yes
Yes,Bothidae,piscivore,Yes,demersal,Not cryptobenthic,Marine,No,No,Carangiformes,Actinopterygii,No
Yes,Bregmacerotidae,planktivore,No,bathypelagic,Not cryptobenthic,Marine,No,No,Gadiformes,Actinopterygii,No
Yes,Bythitidae,omnivore_carnivore,No,demersal,Cryptobenthic,Marine,No,Yes,Ophidiiformes,Actinopterygii,Yes
Yes,Carapidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Ophidiiformes,Actinopterygii,Yes
Yes,Clupeidae,planktivore,No,pelagic,Not cryptobenthic,Marine,Yes,Yes,Clupeiformes,Actinopterygii,No
Yes,Congridae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Anguilliformes,Actinopterygii,Yes
Yes,Engraulidae,planktivore,No,pelagic,Not cryptobenthic,Marine,No,Yes,Clupeiformes,Actinopterygii,No
Yes,Gerreidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,Yes,Yes,Acanthuriformes,Actinopterygii,No
Yes,Gobiidae,omnivore_carnivore,No,demersal,Cryptobenthic,Marine,No,No,Gobiiformes,Actinopterygii,Yes
Yes,Haemulidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,Yes,Yes,Acanthuriformes,Actinopterygii,Yes
Yes,Hemiramphidae,omnivore_carnivore,No,pelagic,Not cryptobenthic,Marine,No,No,Beloniformes,Actinopterygii,No
Yes,Holocentridae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Holocentriformes,Actinopterygii,Yes
Yes,Labridae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,Yes,Yes,Perciformes,Actinopterygii,Yes
Yes,Labrisomidae,omnivore_carnivore,No,demersal,Cryptobenthic,Marine,No,Yes,Blenniiformes,Actinopterygii,Yes
Yes,Lutjanidae,piscivore,Yes,demersal,Not cryptobenthic,Marine,Yes,No,Acanthuriformes,Actinopterygii,Yes
Yes,Microdesmidae,omnivore_carnivore,No,demersal,Cryptobenthic,Marine,No,Yes,Gobiiformes,Actinopterygii,Yes
Yes,Mullidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,Yes,Syngnathiformes,Actinopterygii,Yes
Yes,Myctophidae,planktivore,No,bathypelagic,Not cryptobenthic,Marine,No,No,Myctophiformes,Actinopterygii,No
Yes,Ophidiidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,Yes,Ophidiiformes,Actinopterygii,No
Yes,Opistognathidae,omnivore_carnivore,No,demersal,Cryptobenthic,Marine,No,Yes,Cichliformes,Actinopterygii,Yes
Yes,Paralichthyidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Carangiformes,Actinopterygii,No
Yes,Pomacentridae,herbivore,No,demersal,Not cryptobenthic,Marine,No,Yes,Cichliformes,Actinopterygii,Yes
Yes,Scaridae,herbivore,No,demersal,Not cryptobenthic,Marine,Yes,Yes,Labriformes,Actinopterygii,Yes
Yes,Scorpaenidae,piscivore,Yes,demersal,Not cryptobenthic,Marine,Yes,Yes,Perciformes,Actinopterygii,Yes
Yes,Serranidae,piscivore,Yes,demersal,Not cryptobenthic,Marine,Yes,No,Perciformes,Actinopterygii,Yes
Yes,Synodontidae,piscivore,Yes,demersal,Not cryptobenthic,Marine,No,No,Aulopiformes,Actinopterygii,Yes
Yes,Triglidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Perciformes,Actinopterygii,No
No,Achiridae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Carangiformes,Actinopterygii,NA
No,Acropomatidae,omnivore_carnivore,No,demersal,Not cryptobenthic,Marine,No,No,Acropomatiformes,Actinopterygii,NA
No,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,Actinopterygii,NA
