basin,region,site_name,sample,depth,unique,age_group,otolith,length_um,width_um,family
Pacific,Gulf of Panama,Saboga,AT19-1-1,10,AT19-1-1-10,modern,1,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,25,AT19-1-1-25,modern,1,2023.411,1141.143,Lutjanidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,30,AT19-1-1-30,modern,1,1303.222,860.522,Mullidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,35,AT19-1-1-35,modern,1,2798.703,1159.6,Serranidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,35,AT19-1-1-35,modern,2,2093.878,1375.51,Haemulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,40,AT19-1-1-40,modern,1,1093.878,979.592,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,40,AT19-1-1-40,modern,2,1469.388,979.592,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,40,AT19-1-1-40,modern,3,3902.041,2587.755,Apogonidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,40,AT19-1-1-40,modern,4,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,45,AT19-1-1-45,modern,1,1583.673,881.633,Engraulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,50,AT19-1-1-50,modern,1,2644.898,1428.571,Serranidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,50,AT19-1-1-50,modern,2,2204.082,1183.673,Serranidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,50,AT19-1-1-50,modern,3,NA,808.163,Serranidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,50,AT19-1-1-50,modern,4,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,55,AT19-1-1-55,modern,1,NA,840.816,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,1,906.122,848.98,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,2,840.816,926.531,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,3,668.027,716.327,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,4,1061.224,771.429,Apogonidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,5,2522.449,1179.592,Carangidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,6,2138.776,1257.143,Haemulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,220,AT19-1-1-220,pre_exp,7,1118.367,688.435,Haemulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,225,AT19-1-1-225,pre_exp,1,1673.469,1020.408,Lutjanidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,230,AT19-1-1-230,pre_exp,1,881.633,631.293,Engraulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,230,AT19-1-1-230,pre_exp,2,1097.959,595.918,Scorpaenidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,230,AT19-1-1-230,pre_exp,3,1971.429,1289.796,Gerreidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,230,AT19-1-1-230,pre_exp,4,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,230,AT19-1-1-230,pre_exp,5,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,230,AT19-1-1-230,pre_exp,6,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,1,1412.245,1126.531,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,2,857.143,734.694,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,3,1061.224,983.673,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,4,2253.061,1665.306,Apogonidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,5,1306.122,897.959,Apogonidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,6,946.27,1771.429,Haemulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,7,2489.796,654.946,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,8,2628.571,1244.898,Pomacentridae
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,9,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,235,AT19-1-1-235,pre_exp,10,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,240,AT19-1-1-240,pre_exp,1,489.796,563.265,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,240,AT19-1-1-240,pre_exp,2,2212.245,1228.571,Haemulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,240,AT19-1-1-240,pre_exp,3,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,240,AT19-1-1-240,pre_exp,4,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,245,AT19-1-1-245,pre_exp,1,2640.816,1546.939,Mugilidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,245,AT19-1-1-245,pre_exp,2,1689.796,865.306,Serranidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,245,AT19-1-1-245,pre_exp,3,1563.265,726.531,Scorpaenidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,1,865.306,892.517,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,2,1287.075,897.959,Apogonidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,3,1061.224,748.299,Labridae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,4,560.544,412.245,Haemulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,5,636.735,473.469,Engraulidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,6,1669.388,1091.156,Ophidiidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,7,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,250,AT19-1-1-250,pre_exp,8,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,255,AT19-1-1-255,pre_exp,1,3853.061,2481.633,Apogonidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,255,AT19-1-1-255,pre_exp,2,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,255,AT19-1-1-255,pre_exp,3,NA,796.912,Lutjanidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,255,AT19-1-1-255,pre_exp,4,NA,1025.01,Clupeidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,260,AT19-1-1-260,pre_exp,1,1551.02,726.531,Serranidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,260,AT19-1-1-260,pre_exp,2,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,260,AT19-1-1-260,pre_exp,3,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,260,AT19-1-1-260,pre_exp,4,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,260,AT19-1-1-260,pre_exp,5,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,260,AT19-1-1-260,pre_exp,6,NA,NA,sin identificar
Pacific,Gulf of Panama,Saboga,AT19-1-1,265,AT19-1-1-265,pre_exp,1,1024.49,967.347,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,265,AT19-1-1-265,pre_exp,2,1469.388,1134.694,Gobidae
Pacific,Gulf of Panama,Saboga,AT19-1-1,265,AT19-1-1-265,pre_exp,3,881.633,926.531,Gobidae
