basin,region,site_name,sample,depth,unique,type,total_dd_count,sed_weight_kg
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,NA,AT14-1-1,modern_bulk,9,7.184
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,NA,AT14-1-2,modern_bulk,39,7.883
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,NA,AT14-1-3,modern_bulk,18,7.525
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,NA,AT14-1-5,modern_bulk,8,4.215
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,NA,AT14-1-7,modern_bulk,35,5.844
Caribbean,Bocas del Toro,Casa Blanca,AT14-1,NA,AT14-1-8,modern_bulk,20,6.462
Caribbean,Bocas del Toro,Punta Donato,AT14-2,NA,AT14-2-1,modern_bulk,28,6.899
Caribbean,Bocas del Toro,Punta Donato,AT14-2,NA,AT14-2-2,modern_bulk,30,4.607
Caribbean,Bocas del Toro,Punta Donato,AT14-2,NA,AT14-2-4,modern_bulk,17,3.897
Caribbean,Bocas del Toro,Punta Donato,AT14-2,NA,AT14-2-5,modern_bulk,73,7.274
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,NA,AT14-3-1,modern_bulk,28,4.715
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,NA,AT14-3-2,modern_bulk,13,1.921
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,NA,AT14-3-3,modern_bulk,12,2.695
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,NA,AT14-3-4,modern_bulk,18,3.331
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,NA,AT14-3-5,modern_bulk,15,2.317
Caribbean,Bocas del Toro,Cayo Adriana,AT14-3,NA,AT14-3-6,modern_bulk,26,2.946
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,NA,AT14-5-1,Holocene_bulk,9,2.78
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,NA,AT14-5-2,Holocene_bulk,11,2.551
Caribbean,Bocas del Toro,Sweet Bocas,AT14-5,NA,AT14-5-3,Holocene_bulk,23,3.628
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,NA,AT14-6-1,Holocene_bulk,4,3.484
Caribbean,Bocas del Toro,Sweet Bocas,AT14-6,NA,AT14-6-2,Holocene_bulk,3,3.641
