Family,Species,Type,Locality,a,b
Belonidae,Ablennes hians,TL,Lakshadweep /  2015-2017,0.00132,2.972
Pomacentridae,Abudefduf saxatilis,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.0246,2.85
Pomacentridae,Abudefduf saxatilis,TL,Cape Verde Archipelago / 2008-2013,0.0187,3.392
Acanthuridae,Acanthurus chirurgus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0282,2.8137
Acanthuridae,Acanthurus chirurgus,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.024,2.93
Acanthuridae,Acanthurus nigricans,TL,Northern Line Islands / 2006-2011.,0.01533,3.178
Acanthuridae,Acanthurus nigricans,TL,"Society and Tuamotu Archipelagos / 2018, 2019, 2021.",0.024,2.988
Acanthuridae,Acanthurus tractus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0348,2.6894
Acanthuridae,Acanthurus triostegus,TL,"Lakshadweep lagoons, 1993-97",0.0213,3.081
Acanthuridae,Acanthurus xanthopterus,TL,Barra de Navidad lagoon / 2002-2003,0.0301,2.88
Albulidae,Albula vulpes,TL,"Indus delta, northern Arabian Sea / 1999-2001.",0.01138,2.858
Carangidae,Alectis ciliaris,TL,1985,0.0412,2.85
Carangidae,Alectis ciliaris,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.019,2.894
Paralichthyidae,Ancylopsetta dendritica,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.007,3.253
Engraulidae,Anchoa filifera,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00424,3.192
Engraulidae,Anchoa filifera,TL,Southeastern coast / 2004-2006.,0.00514,3.133
Engraulidae,Anchoa filifera,TL,Northeastern Brazilian coast / 2013-2014.,0.0014,3.6493
Engraulidae,Anchoa hepsetus,TL,"Gulf of Mexico, Louisiana & Mississippi",0.0182,2.826
Engraulidae,Anchoa hepsetus,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004",0.006,3.09
Engraulidae,Anchoa hepsetus,TL,"Pará (0°S - 25°S), 2003-2004",0.00277,3.482
Engraulidae,Anchoa hepsetus,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0062,3.118
Engraulidae,Anchoa ischana,TL,Bahia de Matanchen / 2013-2014,0.0067,2.946
Engraulidae,Anchoa lyolepis,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00449,3.101
Engraulidae,Anchoa lyolepis,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0064,3.0618
Engraulidae,Anchoa lyolepis,TL,Parana´ state coast / 2004 - 2005,0.00586,2.96
Engraulidae,Anchoa lyolepis,TL,Grand Cul-de-Sac Marin Bay.,0.0021,3.541
Engraulidae,Anchoa panamensis,TL,Bahia de Matanchen / 2013-2014,0.0029,3.311
Engraulidae,Anchoa parva,TL,"Paraná (0°S - 25°S), 2003-2004",0.00504,3.194
Engraulidae,Anchoa spinifer,TL,Parana´ state coast / 2004 - 2005,0.00396,3.18
Engraulidae,Anchoa spinifer,TL,"Marapanim River, Para State / 2006-2007.",0.003,3.327
Engraulidae,Anchoa spinifer,TL,Sergipe / 2015-2016.,0.00386,3.222
Engraulidae,Anchoa spinifer,TL,Pernambuco / 2011-2014.,0.0046,3.17
Engraulidae,Anchovia clupeoides,TL,"Central coast, 1993-2000",0.0045,3.149
Engraulidae,Anchovia clupeoides,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0056,3.12
Engraulidae,Anchovia clupeoides,TL,"Pará (0°S - 25°S), 2003-2004",0.00187,3.563
Engraulidae,Anchovia clupeoides,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00455,3.147
Engraulidae,Anchovia clupeoides,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.015,2.879
Engraulidae,Anchovia clupeoides,TL,southern Bahia / 2003-2005,0.0042,3.203
Engraulidae,Anchovia clupeoides,TL,Pernambuco / 2011-2014.,0.0061,3.04
Engraulidae,Anchovia clupeoides,TL,Pernambuco / 2011-2014.,0.0045,3.15
Engraulidae,Anchovia macrolepidota,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.007,3.292
Engraulidae,Anchovia macrolepidota,TL,Barra de Navidad lagoon / 2002-2003,0.0033,3.32
Engraulidae,Anchovia macrolepidota,TL,Bahia de Matanchen / 2013-2014,0.0039,3.241
Engraulidae,Anchovia macrolepidota,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0444,2.55
Engraulidae,Anchoviella elongata,TL,"Golfão Maranhense, Brazilian Amazon littoral region / 2016.",0.0235,2.366
Haemulidae,Anisotremus surinamensis,TL,"Trindade Island / 2012, 2013.",0.067,2.69
Apogonidae,Apogon pacificus,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.0103,3.074
Apogonidae,Apogon retrosella,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.00977,3.192
Sparidae,Archosargus probatocephalus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00789,3.327
Sparidae,Archosargus probatocephalus,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0157,3.0853
Sparidae,Archosargus rhomboidalis,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0215,2.96
Sparidae,Archosargus rhomboidalis,TL,Grand Cul-de-Sac Marin Bay.,0.0026,3.624
Sparidae,Archosargus rhomboidalis,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0268,2.8826
Sparidae,Archosargus rhomboidalis,TL,Pernambuco / 2011-2014.,0.0126,3.14
Congridae,Ariosoma balearicum,TL,Balearic Islands / 2001-2001.,0.0012,3.0711
Congridae,Ariosoma balearicum,TL,Continental shelf and upper slope / 2008-2011,0.0019,2.89
Apogonidae,Astrapogon stellatus,TL,Southern Florida,0.017,3.077
Atherinidae,Atherinomorus stipes,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0071,3.0487
Atherinidae,Atherinomorus stipes,TL,Grand Cul-de-Sac Marin Bay.,0.0047,3.314
Atherinopsidae,Atherinella blackburni,TL,Piraque-acu and Piraque-mirim rivers / 2008-2009.,0.0041,3.16
Pomacentridae,Azurina atrilobata,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.00523,3.416
Sciaenidae,Bairdiella ronchus,TL,Southern coast,0.00778,3.14
Sciaenidae,Bairdiella ronchus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0083,3.1518
Sciaenidae,Bairdiella ronchus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00506,3.364
Sciaenidae,Bairdiella ronchus,TL,"Pernambuco (0°S - 25°S), 2003-2004",0.0114,2.962
