basin,region,sample,depth,unique,site_name,type,num_yrs_est_bulks,total_oto_count,sed_weight_whole_sample_kg,sed_weight_500_kg,group,group_name,age_ref
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-1-1,STRI Point,modern_bulk,.,34,0.85,0.1563,1,AT12-1_1,modern
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-2-1,STRI Point,modern_bulk,.,93,1.15,0.261,2,AT12-1_2,modern
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-2-2,STRI Point,modern_bulk,.,73,1.15,0.23893,3,AT12-1_3,modern
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-3-1,STRI Point,modern_bulk,.,62,1.15,0.23809,4,AT12-1_4,modern
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-4-1,STRI Point,modern_bulk,.,85,1.15,0.21289,5,AT12-1_5,modern
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-5-1,STRI Point,modern_bulk,.,20,1.1,0.27754,6,AT12-1_6,modern
Caribbean,Bocas del Toro,AT12-1,.,AT12-1-6-1,STRI Point,modern_bulk,.,16,1.2,0.19713,7,AT12-1_7,modern
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-1,Sunset Point,Holocene_bulk,20,82,1.15,0.05814,1,AT12-2_1,pre_exp
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-10,Sunset Point,Holocene_bulk,20,12,1.5,0.13242,7,AT12-2_7,pre_exp
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-2,Sunset Point,Holocene_bulk,20,53,1.1,0.029,2,AT12-2_2,pre_exp
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-3,Sunset Point,Holocene_bulk,20,132,0.85,0.05566,3,AT12-2_3,pre_exp
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-4,Sunset Point,Holocene_bulk,20,89,0.9,0.05891,4,AT12-2_4,pre_exp
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-5,Sunset Point,Holocene_bulk,20,78,0.85,0.14546,5,AT12-2_5,pre_exp
Caribbean,Bocas del Toro,AT12-2,.,AT12-2-6,Sunset Point,Holocene_bulk,20,12,1.2,0.11762,6,AT12-2_6,pre_exp
