in_holocene_study,Family,Feeding,Piscivore,Habit,Reef_associated,Cryptobenthic,Gross_habitat,harvested_archaeo,harvested_modern,harvested_combined,prey_of_harvested_fishes,Order,Class
Yes,Acanthuridae,herbivore,No,demersal,Yes,Not cryptobenthic,Marine,Yes,No,Yes,Yes,Acanthuriformes,Actinopterygii
Yes,Albulidae,piscivore,Yes,demersal,No,Not cryptobenthic,Marine,Yes,No,Yes,No,Albuliformes,Actinopterygii
No,Antennariidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Lophiiformes,Actinopterygii
Yes,Apogonidae,planktivore,No,demersal,Yes,Cryptobenthic,Marine,No,No,No,No,Kurtiformes,Actinopterygii
Yes,Atherinidae,planktivore,No,pelagic,Yes,Not cryptobenthic,Marine,No,No,No,Yes,Atheriniformes,Actinopterygii
Yes,Atherinopsidae,planktivore,No,pelagic,No,Not cryptobenthic,Marine,No,No,No,Yes,Atheriniformes,Actinopterygii
Yes,Batrachoididae,omnivore_carnivore,No,demersal,Yes,Not cryptobenthic,Marine,Yes,No,Yes,No,Batrachoidiformes,Actinopterygii
Yes,Blenniidae,omnivore_carnivore,No,demersal,Yes,Cryptobenthic,Marine,No,No,No,No,Blenniiformes,Actinopterygii
Yes,Bothidae,piscivore,Yes,demersal,No,Not cryptobenthic,Marine,No,No,No,No,Carangiformes,Actinopterygii
Yes,Bregmacerotidae,planktivore,No,bathypelagic,No,Not cryptobenthic,Marine,No,No,No,No,Gadiformes,Actinopterygii
Yes,Bythitidae,omnivore_carnivore,No,demersal,Yes,Cryptobenthic,Marine,No,No,No,Yes,Ophidiiformes,Actinopterygii
Yes,Carapidae,omnivore_carnivore,No,demersal,Yes,Not cryptobenthic,Marine,No,No,No,No,Ophidiiformes,Actinopterygii
Yes,Clupeidae,planktivore,No,pelagic,No,Not cryptobenthic,Marine,Yes,Yes,Yes,Yes,Clupeiformes,Actinopterygii
Yes,Congridae,omnivore_carnivore,No,demersal,Yes,Not cryptobenthic,Marine,No,No,No,No,Anguilliformes,Actinopterygii
Yes,Engraulidae,planktivore,No,pelagic,No,Not cryptobenthic,Marine,Yes,Yes,Yes,Yes,Clupeiformes,Actinopterygii
